run,barrier_hit,survived,steps_survived,final_wealth
0,0,1,500,16.83696858024203
1,1,0,100,-2.9103515794017056
2,0,1,500,27.419115567047697
3,0,1,500,28.350104384400197
4,0,1,500,18.279726568772148
5,0,1,500,10.812994075849616
6,0,1,500,25.199944352685378
7,0,1,500,23.369867580763938
8,0,1,500,11.10484941229717
9,0,1,500,13.54636480144427
10,0,1,500,19.604383837615188
11,1,0,128,7.402592173736295
12,0,1,500,29.279467880008156
13,0,1,500,20.58705950261421
14,1,0,201,-5.580880524389727
15,1,0,67,-6.2386245132608025
16,0,1,500,20.588189334227096
17,0,1,500,16.289110974967258
18,0,1,500,17.5064044388443
19,0,1,500,17.26864589697307
20,0,1,500,27.2597112823955
21,0,1,500,14.077251905714945
22,0,1,500,14.655489023128553
23,0,1,500,11.800647830842848
24,0,1,500,28.438298913626767
25,0,1,500,23.964448641668753
26,0,1,500,20.137216671876956
27,1,0,126,-6.6468431798558925
28,0,1,500,22.94845447578848
29,0,1,500,24.40967123650185
30,0,1,500,25.87666836014074
31,1,0,157,1.5703245818176157
32,0,1,500,25.867399582316168
33,1,0,75,-5.212774398718764
34,0,1,500,17.478710296102335
35,0,1,500,18.894271705760644
36,0,1,500,16.983715837215115
37,0,1,500,29.855170356862374
38,0,1,500,36.28963248342204
39,0,1,500,20.225175595977817
40,0,1,500,17.94291170326015
41,0,1,500,36.72239222683908
42,0,1,500,30.43210848435143
43,0,1,500,15.219193942792302
44,0,1,500,27.918993836064033
45,0,1,500,27.245377055620082
46,0,1,500,18.169788345320285
47,0,1,500,15.002334514757763
48,0,1,500,28.093673208248248
49,0,1,500,23.07568060286617
50,1,0,85,-8.449691026036007
51,0,1,500,7.465803954901077
52,0,1,500,13.181427732189448
53,0,1,500,24.66181836397385
54,1,0,121,-0.21030144650217153
55,1,0,446,7.447600188769769
56,0,1,500,28.799892186407646
57,0,1,500,27.275652387298706
58,0,1,500,24.59760630420149
59,0,1,500,3.7622999805451514
60,1,0,396,14.074779532880697
61,0,1,500,39.93910791224485
62,1,0,102,-4.504930765507652
63,0,1,500,30.768141304673932
64,1,0,163,1.6309661989684798
65,0,1,500,20.439708174095315
66,1,0,165,-8.381667405968898
67,1,0,264,0.76272544753499
68,1,0,352,-2.2851349248926454
69,0,1,500,11.033525906764226
70,0,1,500,12.800720110193822
71,1,0,273,-5.853508793573667
72,1,0,378,23.757526538284196
73,0,1,500,19.69077475556368
74,1,0,52,-6.860077220119095
75,0,1,500,26.390871472956974
76,1,0,42,-5.616985406634797
77,0,1,500,11.725367601911216
78,0,1,500,23.532844342573085
79,0,1,500,26.966025301296554
80,1,0,264,-6.494567002501938
81,0,1,500,18.91672808501845
82,0,1,500,16.27799139801988
83,1,0,138,10.177004510580844
84,0,1,500,32.70963112313473
85,0,1,500,22.865587798411013
86,0,1,500,23.203108646569987
87,0,1,500,19.55728543927836
88,0,1,500,26.478792825446405
89,0,1,500,27.40719585982373
90,0,1,500,11.065038257956544
91,0,1,500,24.966887947168743
92,0,1,500,15.238666227358536
93,0,1,500,18.760968355532356
94,1,0,228,-2.234624718211421
95,1,0,412,8.77055861948537
96,0,1,500,26.510341461265767
97,1,0,228,6.853110590725109
98,0,1,500,24.028060858051987
99,0,1,500,23.16924417839263
100,0,1,500,18.614154112043508
101,1,0,385,15.356151259663022
102,0,1,500,20.598865378371528
103,0,1,500,15.892975011042495
104,0,1,500,23.99703062704701
105,0,1,500,28.15149045372783
106,1,0,300,-0.29223261218768926
107,0,1,500,13.944249718739627
108,0,1,500,16.849170325061806
109,0,1,500,18.861699301682137
110,0,1,500,18.108347360602792
111,0,1,500,20.673370865151384
112,0,1,500,14.543923615654862
113,0,1,500,28.217745368991743
114,0,1,500,10.261713890218388
115,0,1,500,20.06525663036483
116,0,1,500,16.286922114009542
117,0,1,500,12.161373049523206
118,0,1,500,9.339257132104734
119,0,1,500,19.159614613619055
120,0,1,500,25.10988990580269
121,0,1,500,22.488882290734125
122,1,0,286,17.973788819184392
123,0,1,500,21.77055012691511
124,0,1,500,34.81785431498601
125,0,1,500,10.441092145816114
126,0,1,500,29.768881974599594
127,0,1,500,17.017720336190763
128,0,1,500,17.170743849309474
129,0,1,500,17.397857240926825
130,0,1,500,18.09508772731877
131,0,1,500,20.34836974822312
132,0,1,500,20.297364147984922
133,0,1,500,31.070412413199605
134,0,1,500,37.395275610109266
135,0,1,500,15.78949266879377
136,0,1,500,11.994545940356502
137,0,1,500,27.625128815716963
138,1,0,163,3.634832404595457
139,1,0,108,-4.7728816269926995
140,0,1,500,18.959437355380373
141,0,1,500,19.716527541376138
142,0,1,500,26.17777125383732
143,0,1,500,24.10397734407718
144,0,1,500,16.991059002827996
145,0,1,500,22.687948764561398
146,1,0,158,8.833884655370895
147,0,1,500,29.99933908792336
148,1,0,202,0.663141240288283
149,1,0,192,-0.6131705639799634
150,0,1,500,8.072059347674937
151,1,0,159,0.8118775653538393
152,0,1,500,13.741862703473458
153,1,0,85,-3.1523903479670423
154,0,1,500,20.330603022738387
155,0,1,500,11.08117910947874
156,1,0,83,-0.537895070406023
157,0,1,500,21.03121782380542
158,0,1,500,17.76128841143597
159,0,1,500,20.962650091779025
160,0,1,500,11.565680901286825
161,0,1,500,28.846693888813064
162,0,1,500,24.305550357820437
163,1,0,482,19.128983233321946
164,0,1,500,16.958977354681906
165,0,1,500,19.61686849055002
166,0,1,500,23.95777126339472
167,0,1,500,20.369373465860306
168,0,1,500,20.663950077930764
169,0,1,500,23.56560234022392
170,1,0,177,2.4272370982353095
171,0,1,500,18.808872294321617
172,1,0,39,-7.2184766942088885
173,1,0,101,1.4877533646653376
174,0,1,500,14.277601390915123
175,0,1,500,17.80555882685769
176,0,1,500,23.589116613111813
177,1,0,250,2.817660351785605
178,0,1,500,25.62025412016237
179,0,1,500,26.63876932848447
180,0,1,500,26.93616426470139
181,1,0,145,9.1441068788817
182,0,1,500,25.867437777527897
183,1,0,208,1.1396242894362842
184,0,1,500,26.229308487648098
185,0,1,500,17.965240040253263
186,0,1,500,35.95254575349912
187,0,1,500,21.755069533812147
188,0,1,500,15.362058697107443
189,0,1,500,21.139209288878504
190,1,0,355,10.964134107297468
191,0,1,500,25.0021825330152
192,0,1,500,21.343612458429874
193,0,1,500,19.557475752389777
194,1,0,146,-0.7780739519814404
195,0,1,500,21.929852699107045
196,0,1,500,24.217759463124906
197,0,1,500,30.22813095669217
198,1,0,76,-3.8131292621572896
199,0,1,500,16.786478728685694
